Filename,Value
tsp_1000_1,22078680.713415068
tsp_100_1,25024.63042032788
tsp_100_2,25295.045888339926
tsp_100_3,25592.955764926723
tsp_100_4,23967.061651941567
tsp_100_5,25843.828514358665
tsp_100_6,9340.017918848467
tsp_101_1,697.9389770960937
tsp_105_1,16849.87013334848
tsp_1060_1,262572.303744618
tsp_107_1,55807.79870154408
tsp_1084_1,283363.25241149974
tsp_1173_1,65731.10395220654
tsp_11849_1,3245738.7331327433
tsp_124_1,67397.75139071775
tsp_127_1,138106.88923100664
tsp_1291_1,60361.80514364212
tsp_1304_1,284097.7127292147
tsp_1323_1,314738.52823359985
tsp_136_1,115428.04910447604
tsp_1379_1,66394.47511232062
tsp_1400_1,23877.414363079046
tsp_14051_1,1185533.6643290594
tsp_1432_1,176533.61825312063
tsp_144_1,70771.06625043075
tsp_150_1,31211.955950415126
tsp_150_2,30140.650939603333
tsp_152_1,88946.41923498991
tsp_1577_1,26402.380611373803
tsp_159_1,48267.515713992194
tsp_1655_1,73546.77362856205
tsp_1748_1,392613.13283031865
tsp_1817_1,67698.36181132944
tsp_18512_1,1693270.2422522446
tsp_1889_1,362680.31225308595
tsp_195_1,2715.819423100094
tsp_198_1,17548.07424050295
tsp_200_1,33860.281737557256
tsp_200_2,34829.10494510645
tsp_2103_1,85733.50697729838
tsp_2152_1,75962.93982937092
tsp_225_1,151819.55585820117
tsp_226_1,93780.33857018028
tsp_2319_1,258109.98894941946
tsp_2392_1,440623.05116868723
tsp_262_1,2893.4650318652866
tsp_264_1,54644.11749014461
tsp_299_1,56413.47029653659
tsp_3038_1,159844.28999050628
tsp_318_1,51493.92566739255
tsp_318_2,51493.92566739255
tsp_33810_1,180736288.60742384
tsp_3795_1,33565.37601459083
tsp_400_1,18293.114505967693
tsp_417_1,14558.573965197686
tsp_439_1,123986.67166309668
tsp_442_1,58397.637251637185
tsp_4461_1,611656.2535740013
tsp_493_1,41572.225565975255
tsp_51_1,494.8847862113223
tsp_574_1,43392.614028024334
tsp_575_1,8077.815832440337
tsp_5915_1,2703438.618828401
tsp_5934_1,2547211.600841097
tsp_5_1,3.0
tsp_654_1,39282.26322878081
tsp_657_1,56755.004412006856
tsp_70_1,813.5743831653593
tsp_724_1,50114.07336788281
tsp_7397_1,67497384.32053827
tsp_76_1,613.6121006164716
tsp_76_2,124716.08801294053
tsp_783_1,10640.653261558968
tsp_85900_1,373957043.43956316
tsp_9432_1,93790.63279277155
tsp_99_1,1325.680496355402
